puma5,NAME,no_vehicle_share
4800100,"Panhandle Regional Planning Commission (Outside Potter & Randall Counties) PUMA, Texas",0.04373573295398154
4800200,"Panhandle Regional Planning Commission--Potter County--Amarillo City (North) PUMA, Texas",0.08632809781221724
4800300,"Panhandle Regional Planning Commission--Randall County--Amarillo City (South) PUMA, Texas",0.029423641703377384
4800400,"South Plains Association of Governments (Outside Lubbock County) PUMA, Texas",0.05518748070575384
4800501,"South Plains Association of Governments--Lubbock County--Lubbock City (Central) PUMA, Texas",0.08827893175074183
4800502,"South Plains Association of Governments--Lubbock County--Lubbock City (Outer) PUMA, Texas",0.039113446510374565
4800600,"North Texas Regional Planning Commission (Outside Wichita County) & Wise County PUMA, Texas",0.036506999201083745
4800700,"North Texas Regional Planning Commission--Wichita County--Wichita Falls City PUMA, Texas",0.06761048720237478
4800800,"Texoma COG--Grayson, Cooke & Fannin Counties PUMA; Texas",0.040164830332801486
4800900,"Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA; Texas",0.0331832419733751
4801000,"Ark-Tex COG (West) PUMA, Texas",0.04861064274634114
4801100,"Ark-Tex COG (East)--Bowie & Cass Counties PUMA, Texas",0.0662124619658685
4801200,"East Texas COG (Northeast)--Harrison, Upshur & Marion Counties PUMA; Texas",0.05507368028352919
4801300,"East Texas COG (Northwest)--Van Zandt, Wood, Camp & Rains Counties PUMA; Texas",0.03878521018086047
4801400,"Kaufman County PUMA, Texas",0.02777717638398753
4801501,"East Texas COG (Central)--Smith County (Outside Tyler City) PUMA, Texas",0.02728213411402468
4801502,"East Texas COG (Central)--Smith County (West)--Tyler City PUMA, Texas",0.04964793792211525
4801600,"East Texas COG (Central)--Gregg County--Longview City PUMA, Texas",0.05645818150640888
4801700,"East Texas COG (Southeast)--Rusk, Cherokee & Panola Counties PUMA; Texas",0.04682494604112235
4801800,"East Texas COG (Southwest)--Henderson & Anderson Counties PUMA, Texas",0.05416387399463807
4801901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA; Texas",0.05091347329444231
4801902,"Collin County (Southwest)--Plano City (West) PUMA, Texas",0.028954133405493167
4801903,"Collin County (Southwest)--Plano City (Central) PUMA, Texas",0.027243960793393533
4801904,"Collin County (South Central)--Allen, Murphy, Plano (East) & Parker Cities PUMA; Texas",0.02003402807316036
4801905,"Collin County (Central)--McKinney City PUMA, Texas",0.03526982328539317
4801906,"Collin County (Northwest)--Frisco City (East) & Prosper Town PUMA, Texas",0.023108678093870592
4801907,"Collin County (East) PUMA, Texas",0.01300115492492988
4802001,"Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA, Texas",0.04387670091641211
4802002,"Denton County (Southeast)--Lewisville City PUMA, Texas",0.036389816087440276
4802003,"Denton County (South Central)--Flower Mound Town & Highland Village City PUMA, Texas",0.010619264731344145
4802004,"Denton County (East Central)--Frisco (West), The Colony & Little Elm Cities PUMA; Texas",0.022966147408339736
4802005,"Denton County (Central)--Denton (Central) & Corinth Cities PUMA, Texas",0.040663547426626964
